Week,Week Ending,Cumulative Applications,Base Case Probability,Pessimistic Probability,Brutal Cold Market Probability
1,2026-06-22,85,0.15277084136173458,0.08425794975366585,0.11979084246383864
2,2026-06-29,170,0.2822027527530968,0.16141649741064046,0.22523183898948107
3,2026-07-06,255,0.39186124214214324,0.2320738240360679,0.3180419697110901
4,2026-07-13,340,0.4847671118447682,0.2967777091849616,0.39973429668437854
5,2026-07-20,425,0.5634796736654795,0.356029777630113,0.4716406309867055
6,2026-07-27,510,0.6301672511911031,0.41028938826941197,0.5349332449244701
7,2026-08-03,595,0.6866669113897612,0.45997719536181136,0.5906439833168916
8,2026-08-10,680,0.7345350709632184,0.5054784097008496,0.6396810854230024
9,2026-08-17,765,0.7750903715242007,0.5471457850083783,0.6828439917558368
10,2026-08-24,850,0.8094500046968036,0.5853023527008783,0.7208363771758732
11,2026-08-31,935,0.8385604878007475,0.620243926229971,0.7542776227392327
12,2026-09-07,1020,0.8632237379084553,0.6522413944123356,0.7837129133235172
13,2026-09-14,1105,0.8841191625464937,0.6815428215283459,0.8096221256505424
14,2026-09-21,1190,0.9018223755819683,0.7083753704707048,0.8324276516053387
15,2026-09-28,1275,0.9168210538672074,0.7329470638525155,0.8525012843931791
16,2026-10-05,1360,0.9295283714514965,0.7554483967279992,0.8701702797980543
17,2026-10-12,1445,0.940294381436983,0.7760538134286699,0.8857226913578897
18,2026-10-19,1530,0.9494156590188779,0.7949230599643221,0.8994120664346282
19,2026-10-26,1615,0.9571434713502928,0.8122024224734838,0.9114615797381208
20,2026-11-02,1700,0.9636906992899519,0.8280258613245732,0.9220676716917087
21,2026-11-09,1785,0.9692377017086822,0.8425160496600173,0.9314032509549274
22,2026-11-16,1870,0.9739372839008674,0.8557853244347724,0.9396205133133171
23,2026-11-23,1955,0.9779189069675039,0.8679365573222886,0.946853422891049
24,2026-11-30,2040,0.981292254128265,0.8790639522397232,0.9532198961369996
25,2026-12-07,2125,0.9841502522050716,0.8892537756753156,0.9588237241892943
26,2026-12-14,2194,0.986145973210441,0.8968907264945196,0.9628752242035362
